Designator,Mid X,Mid Y,Layer,Rotation
ESP_PROG, 9.40, 4.40,Top,0.0
F1,51.48, 8.70,Top,270.0
HM1,45.37,32.56,Top,0.0
IC2,48.04,21.77,Top,0.0
IC5,58.00,32.60,Top,0.0
LED1, 7.80,40.40,Top,0.0
RP2040-PROG, 9.40,10.00,Top,0.0
RST,58.20, 9.60,Top,90.0
S1,18.43, 9.09,Top,90.0
U1,19.00,19.27,Top,0.0
