Comment,Designator,Footprint,LCSC Part #
ABLS-12.000MHZ-B4-T,F1,HC/49US-(AT49)_1,
ASMB-KTF0-0A306,LED1,ASMBKTF00A306,
BME280,HM1,BME280,
BMI088,IC2,BMI088,
GDH04S04,S1,SOIC127P813X256-8N,
L7805CDT-TR,IC5,L7805CDTTR,
RP2040,U1,QFN-56,
SKRPABE010,ESP_PROG RP2040-PROG RST,SKRPABE010,
